date,ticker,price
2024-01-01,AAPL,149.84788882257126
2024-01-02,AAPL,149.36428310393572
2024-01-03,AAPL,149.1053909236046
2024-01-04,AAPL,149.51810752165926
2024-01-05,AAPL,148.95249596575144
2024-01-06,AAPL,148.6499966069608
2024-01-07,AAPL,146.93356708133996
2024-01-08,AAPL,146.47629714580563
2024-01-09,AAPL,145.82370855931018
2024-01-10,AAPL,145.13102296238137
2024-01-11,AAPL,144.6954233281799
2024-01-12,AAPL,142.9443940682967
2024-01-13,AAPL,140.84841350297046
2024-01-14,AAPL,140.274531844412
2024-01-15,AAPL,140.39220034392648
2024-01-16,AAPL,140.68943351613956
2024-01-17,AAPL,140.43296276044282
2024-01-18,AAPL,142.29094547571844
2024-01-19,AAPL,143.3832056017306
2024-01-20,AAPL,143.443057862891
